pos_tag,count,percentage,mean_document_ratio,unique_modalities
NOUN,7515,16.544846109814625,16.165339930160634,2314
PROPN,1154,2.540619083263617,2.67676542894403,587
VERB,6321,13.916163973404958,14.035523157758888,967
ADJ,1391,3.0623926731539783,3.1043422054312595,386
ADV,2393,5.268372154462595,5.285047787084704,99
