word,frequency
comme,4419
vie,1923
mme,1806
rien,1556
o,1189
temps,955
monde,930
couplet,868
quil,851
rap,820
tre,788
ya,731
nest,725
tte,716
jour,709
style,674
gars,637
rue,623
mec,619
fois,607
reste,601
deux,594
gens,571
pourquoi,570
2,564
dj,559
chaque,558
place,558
seul,556
puis,555
passe,547
mic,512
frres,483
quun,471
vu,470
jen,468
personne,465
mots,464
laisse,463
mort,461
yo,457
coup,454
refrain,439
face,431
font,431
putain,424
vite,417
terre,416
mc,412
3,407
