pos_tag,count,percentage
NOUN,7515,16.544846109814625
PRON,7190,15.829333803002951
VERB,6321,13.916163973404958
DET,5702,12.553388225969794
PUNCT,4399,9.684734269737131
ADP,4332,9.537228655717493
ADV,2393,5.268372154462595
AUX,1505,3.313372374620228
ADJ,1391,3.0623926731539783
PROPN,1154,2.540619083263617
SCONJ,1030,2.267623618510854
X,960,2.113513275505262
CCONJ,837,1.84271938708115
INTJ,429,0.9444762449914138
NUM,245,0.539386200519572
SYM,19,0.04182995024437497
